"","site","season","date","plot","tstart","tfinish","time","wamb","tav","pav","cav","flux_lm","flux_nlm","LM rsqd","non-linear sigma","aic_lm","aic_nlm"
"1","cbt","peak","06182020","1","10","50","day_evapotranspiration","5.00475423308032","-65.735737704918","73.7595081967213","276.490819672131","2.76822952782463","2.1660804543506","0.851089869525608","0.28542626865027","7.51432632435034","17.1616279486042"
"2","cbt","peak","06182020","2","10","80","day_evapotranspiration","4.61396076919909","-65.6997777777778","73.7483333333333","268.204222222222","3.8988223641295","3.32794679637143","0.995001725265617","0.237335302790209","-116.845634034312","1.26287694761749"
"3","cbt","peak","06182020","3","10","80","day_evapotranspiration","4.97202415355592","-65.731","73.7458888888889","272.045","2.62838863930314","4.46966009533733","0.937550395973699","0.219306602585115","10.6944314857518","-9.79756523746908"
"4","cbt","peak","06182020","4","10","80","day_evapotranspiration","4.6957542431651","-65.6382222222222","73.7523333333333","283.102222222222","4.3630299114409","3.5960161998292","0.994032115742977","0.323901951120939","-88.1435176510218","44.798247009545"
"5","cbt","peak","06182020","5","10","80","day_evapotranspiration","5.27444056060765","-65.708552631579","73.7642105263158","280.113815789474","3.25894036975576","2.91250316270015","0.961828175620138","0.256463936386721","-3.2257147236616","11.6476834567367"
"6","cbt","peak","06182020","1","10","80","day_evaporation","5.00475423308032","-65.6903333333333","73.7514444444444","293.389444444444","3.05237252888074","2.75357911057559","0.988959206010659","0.156201193798776","-94.867737553959","-57.303188771181"
"7","cbt","peak","06182020","2","10","80","day_evaporation","4.61396076919909","-65.6951111111111","73.739","280.374555555556","2.35182802211454","2.13144175565472","0.968459460749453","0.173817505883754","-55.8891130337141","-42.3426415013875"
"8","cbt","peak","06182020","3","10","70","day_evaporation","4.97202415355592","-65.7012222222222","73.7535555555556","281.806333333333","4.35237008728673","4.48747066059605","0.970793715931977","0.237244968608255","4.56164946131849","1.59908502230561"
"9","cbt","peak","06182020","4","10","80","day_evaporation","4.6957542431651","-65.7157777777778","73.7587777777778","291.208666666667","2.10356072168115","1.8205270096979","0.98558448479537","0.142145254774732","-128.603544220774","-70.5045481887596"
"10","cbt","peak","06182020","5","10","80","day_evaporation","5.27444056060765","-65.6758888888889","73.7657777777778","291.096888888889","1.53196203552376","1.23640332060383","0.988263725760346","0.13197726601794","-188.406844959109","-80.895316703627"
