"","site","season","date","plot","tstart","tfinish","time","camb","tav","pav","nee_lm","nee_exp","LM rsqd","non-linear sigma","aic_lm","aic_nlm"
"1","cbt","peak","06182020","1","10","50","day","291.991838800213","-65.735737704918","73.7595081967213","9.84596239736799","7.10509663500282","0.749657701466471","1.40528794981702","138.062190085519","144.682729142954"
"2","cbt","peak","06182020","2","10","80","day","293.157048563664","-65.6997777777778","73.7483333333333","15.4825894846566","13.5085262001667","0.991537943374021","0.93448890150819","116.607326547849","193.136493070138"
"3","cbt","peak","06182020","3","10","80","day","291.989576331636","-65.731","73.7458888888889","6.85066107015879","13.3214656142518","0.886131700533047","0.842034395744271","193.379980676837","178.551448894506"
"4","cbt","peak","06182020","4","10","60","day","294.597121129504","-65.6382222222222","73.7523333333333","9.533845651218","7.18924795805698","0.96496129770779","0.8409494861541","76.1399605208423","128.53038511054"
"5","cbt","peak","06182020","5","10","45","day","290.829685955805","-65.708552631579","73.7642105263158","7.30559265507936","6.81298453722485","0.79726819079432","0.707732964091869","81.2596710885835","79.0680900177737"
"6","cbt","peak","06182020","1","10","80","dayresp","291.991838800213","-65.6903333333333","73.7514444444444","-8.48584765973811","-8.04163786098909","0.966533835405244","0.602602511782269","130.687617865117","131.712619300076"
"7","cbt","peak","06182020","2","10","80","dayresp","293.157048563664","-65.6951111111111","73.739","-9.49759745194222","-8.62540113267309","0.960754991249075","0.790037249253752","158.405196380072","169.627741352533"
"8","cbt","peak","06182020","3","25","80","dayresp","291.989576331636","-65.7012222222222","73.7535555555556","-8.98966033274065","-4.62870655715524","0.940481840036616","1.50234940910628","117.970164322253","204.819285817277"
"9","cbt","peak","06182020","4","20","75","dayresp","294.597121129504","-65.7157777777778","73.7587777777778","-3.28692657922947","-1.53889383007865","0.787923090160876","0.751832497064941","86.3286881453458","128.669379168218"
"10","cbt","peak","06182020","5","10","80","dayresp","290.829685955805","-65.6758888888889","73.7657777777778","-4.00527580938976","-2.99482506805587","0.92133898583391","0.606349965405793","88.1176445956084","132.580552816971"
